SKU;NOMBRE;TEXTOCORTO;CREADO;CUENTA_ID
SKU_000001;Fitness Tracker;Next-gen gaming console.;23/02/2024;2
SKU_000002;Bluetooth Speaker;Professional laptop for all your needs.;31/10/2024;15
SKU_000003;Wireless Headphones;Portable Bluetooth speaker.;11/10/2024;21
SKU_000004;Smartwatch;Professional laptop for all your needs.;07/07/2024;20
SKU_000005;Digital Camera;Portable Bluetooth speaker.;10/10/2024;2
SKU_000006;Smartwatch;Smartwatch with health tracking.;31/07/2024;29
SKU_000007;Digital Camera;Smartwatch with health tracking.;17/09/2024;13
SKU_000008;Fitness Tracker;High-resolution digital camera.;04/10/2024;12
SKU_000009;Laptop Pro;High-end smartphone with advanced features.;12/09/2024;22
SKU_000010;Bluetooth Speaker;Portable Bluetooth speaker.;14/04/2024;10
SKU_000011;Gaming Console;Ultra HD 4K television.;11/03/2025;19
SKU_000012;Wireless Headphones;Portable Bluetooth speaker.;13/04/2024;5
SKU_000013;4K TV;Versatile tablet for work and play.;23/07/2024;11
SKU_000014;Gaming Console;Professional laptop for all your needs.;10/05/2024;12
SKU_000015;Wireless Headphones;Fitness tracker with heart rate monitor.;26/06/2024;17
SKU_000016;4K TV;Smartwatch with health tracking.;08/01/2024;23
SKU_000017;Smartphone X;High-end smartphone with advanced features.;24/06/2024;10
SKU_000018;4K TV;Versatile tablet for work and play.;15/11/2024;21
SKU_000019;Wireless Headphones;Portable Bluetooth speaker.;08/03/2025;5
SKU_000020;Digital Camera;Ultra HD 4K television.;05/02/2025;11
SKU_000021;Digital Camera;Versatile tablet for work and play.;08/11/2024;27
SKU_000022;Laptop Pro;Smartwatch with health tracking.;18/10/2024;26
SKU_000023;Gaming Console;High-resolution digital camera.;25/01/2025;7
SKU_000024;Smartphone X;Ultra HD 4K television.;04/03/2025;2
SKU_000025;Gaming Console;Ultra HD 4K television.;05/03/2025;8
SKU_000026;4K TV;Noise-cancelling wireless headphones.;29/08/2024;1
SKU_000027;Bluetooth Speaker;Versatile tablet for work and play.;29/12/2024;16
SKU_000028;Gaming Console;Portable Bluetooth speaker.;26/06/2024;27
SKU_000029;Digital Camera;Professional laptop for all your needs.;19/12/2024;25
SKU_000030;Smartphone X;High-resolution digital camera.;11/01/2024;26
SKU_000031;Smartwatch;Versatile tablet for work and play.;22/01/2024;24
SKU_000032;Smartphone X;Next-gen gaming console.;01/02/2025;3
SKU_000033;4K TV;Ultra HD 4K television.;01/07/2024;13
SKU_000034;Laptop Pro;Portable Bluetooth speaker.;22/08/2024;15
SKU_000035;Laptop Pro;Fitness tracker with heart rate monitor.;07/02/2024;26
SKU_000036;Smartwatch;Noise-cancelling wireless headphones.;29/02/2024;27
SKU_000037;Gaming Console;Next-gen gaming console.;10/03/2025;26
SKU_000038;Bluetooth Speaker;Noise-cancelling wireless headphones.;11/02/2025;15
SKU_000039;Tablet Plus;Next-gen gaming console.;16/11/2024;19
SKU_000040;Fitness Tracker;High-end smartphone with advanced features.;15/04/2024;26
SKU_000041;Digital Camera;Portable Bluetooth speaker.;24/09/2024;28
SKU_000042;Bluetooth Speaker;Next-gen gaming console.;18/01/2024;13
SKU_000043;Digital Camera;Fitness tracker with heart rate monitor.;20/08/2024;21
SKU_000044;Smartphone X;High-end smartphone with advanced features.;06/03/2024;27
SKU_000045;Wireless Headphones;Versatile tablet for work and play.;24/01/2024;18
SKU_000046;Smartwatch;Ultra HD 4K television.;24/05/2024;16
SKU_000047;Smartwatch;High-resolution digital camera.;14/02/2024;8
SKU_000048;Laptop Pro;Versatile tablet for work and play.;10/11/2024;17
SKU_000049;Smartphone X;Noise-cancelling wireless headphones.;17/10/2024;4
SKU_000050;Fitness Tracker;Professional laptop for all your needs.;06/12/2024;28
SKU_000051;Tablet Plus;Ultra HD 4K television.;01/02/2025;2
SKU_000052;Bluetooth Speaker;Professional laptop for all your needs.;19/03/2025;2
SKU_000053;Smartwatch;High-end smartphone with advanced features.;29/11/2024;13
SKU_000054;Gaming Console;Professional laptop for all your needs.;13/01/2025;25
SKU_000055;4K TV;Smartwatch with health tracking.;03/07/2024;11
SKU_000056;Smartwatch;Versatile tablet for work and play.;21/01/2024;13
SKU_000057;Fitness Tracker;Next-gen gaming console.;17/06/2024;15
SKU_000058;Laptop Pro;Versatile tablet for work and play.;05/07/2024;16
SKU_000059;Laptop Pro;Portable Bluetooth speaker.;31/03/2024;24
SKU_000060;Gaming Console;Portable Bluetooth speaker.;12/10/2024;24
SKU_000061;Smartphone X;High-resolution digital camera.;14/06/2024;11
SKU_000062;Fitness Tracker;Ultra HD 4K television.;03/01/2025;28
SKU_000063;Laptop Pro;Noise-cancelling wireless headphones.;23/06/2024;20
SKU_000064;Tablet Plus;Ultra HD 4K television.;05/05/2024;13
SKU_000065;Bluetooth Speaker;Ultra HD 4K television.;28/01/2025;9
SKU_000066;Fitness Tracker;Noise-cancelling wireless headphones.;14/04/2024;19
SKU_000067;Wireless Headphones;Ultra HD 4K television.;22/02/2024;20
SKU_000068;Fitness Tracker;Next-gen gaming console.;26/07/2024;19
