ID;NOMBRE;DIRECCIONFISCAL;NIF;FECHAALTA;USUARIO_ID;PLAN_ID
1;Travel World Agency;Calle Serrano, 22, Madrid;V7235810;16/03/2025;;1
2;Tech Innovators Inc.;Avenida Diagonal, 20, Barcelona;K3574668;13/12/2020;;4
3;Bright Future Education;Calle Gran Vía, 28, Madrid;D7411123;01/08/2024;;3
4;Elite Fitness Club;Calle Serrano, 22, Madrid;L7393738;07/02/2021;;1
5;Bright Future Education;Calle Gran Vía, 28, Madrid;V1876383;22/02/2025;;4
6;Luxury Living Estates;Calle de Alcalá, 45, Madrid;U5973630;05/09/2022;;3
7;Creative Media Agency;Calle Serrano, 22, Madrid;F4299726;06/06/2020;;3
8;Health First Medical;Calle Gran Vía, 28, Madrid;P2840144;06/05/2023;;1
9;Global Trade Corp.;Calle Gran Vía, 28, Madrid;A7066973;28/11/2024;;2
10;Luxury Living Estates;Calle Gran Vía, 28, Madrid;M7360019;12/10/2024;;1
11;Creative Media Agency;Calle Gran Vía, 28, Madrid;F2234134;28/05/2024;;4
12;Future Finance Group;Calle Uría, 3, Oviedo;A0461486;05/07/2021;;4
13;SecureIT Services;Calle Larios, 10, Málaga;G2467937;19/08/2024;;1
14;Bright Future Education;Calle de Alcalá, 45, Madrid;J5462411;09/01/2022;;1
15;Fashion Forward Boutique;Calle Uría, 3, Oviedo;K1575025;04/10/2020;;1
16;Clean Water Initiative;Calle Serrano, 22, Madrid;N2982448;02/02/2023;;3
17;Luxury Living Estates;Avenida Diagonal, 20, Barcelona;R5788502;06/06/2023;;2
18;Travel World Agency;Calle Uría, 3, Oviedo;R5636771;01/02/2023;;1
19;Bright Future Education;Paseo de Gracia, 15, Barcelona;A9476104;13/03/2020;;1
20;Digital Marketing Pros;Paseo de Gracia, 15, Barcelona;C0387887;08/05/2021;;2
21;Tech Innovators Inc.;Calle Mayor, 5, Valencia;H7520094;27/09/2024;;4
22;Creative Media Agency;Calle Gran Vía, 28, Madrid;V3302898;22/03/2022;;2
23;Fresh Foods Market;Calle Serrano, 22, Madrid;C0161122;20/02/2025;;2
24;SecureIT Services;Calle Serrano, 22, Madrid;J5805392;06/05/2021;;4
25;Clean Water Initiative;Avenida de la Constitución, 12, Sevilla;A1381742;07/09/2021;;4
26;Urban Development Co.;Paseo de Gracia, 15, Barcelona;J2431831;09/12/2021;;3
27;Smart Home Technologies;Calle Serrano, 22, Madrid;Q8824456;21/03/2023;;1
28;Digital Marketing Pros;Calle Serrano, 22, Madrid;E9402003;08/09/2024;;3
29;Urban Development Co.;Calle de Alcalá, 45, Madrid;A9867815;13/09/2020;;4
30;Creative Media Agency;Calle Larios, 10, Málaga;U9589848;09/04/2022;;3
31;Clean Water Initiative;Calle Larios, 10, Málaga;R1647951;14/10/2024;;4
32;Global Trade Corp.;Calle Gran Vía, 28, Madrid;B6235055;17/04/2024;;3
33;Future Finance Group;Avenida de la Constitución, 12, Sevilla;P8401310;11/02/2021;;2
34;Smart Home Technologies;Calle Gran Vía, 28, Madrid;E1021060;22/10/2022;;1
35;Global Trade Corp.;Avenida de la Constitución, 12, Sevilla;L3989512;22/12/2020;;3
36;Fresh Foods Market;Calle de Alcalá, 45, Madrid;G0617931;18/11/2024;;4
37;Global Trade Corp.;Calle Gran Vía, 28, Madrid;E6476197;01/03/2022;;4
38;Health First Medical;Avenida de la Constitución, 12, Sevilla;P0308101;03/02/2020;;4
39;Future Finance Group;Avenida de la Constitución, 12, Sevilla;Q5840851;27/03/2024;;1
40;Travel World Agency;Paseo de Gracia, 15, Barcelona;E9931977;31/12/2020;;1
41;SecureIT Services;Paseo de Gracia, 15, Barcelona;G9862224;12/10/2021;;3
42;Auto Experts Garage;Calle Larios, 10, Málaga;K1842986;29/03/2022;;1
43;Creative Media Agency;Calle Larios, 10, Málaga;W8804894;07/03/2020;;2
44;Travel World Agency;Avenida Diagonal, 20, Barcelona;L7127457;05/06/2022;;4
45;Bright Future Education;Calle Mayor, 5, Valencia;R3627862;12/08/2020;;3
46;Digital Marketing Pros;Calle Colón, 8, Valencia;P4885531;30/11/2022;;4
47;Fresh Foods Market;Calle Mayor, 5, Valencia;M1345231;24/12/2024;;4
48;Auto Experts Garage;Calle Colón, 8, Valencia;D7233379;28/06/2023;;2
49;Smart Home Technologies;Calle Colón, 8, Valencia;F3899466;01/11/2023;;2
50;Elite Fitness Club;Paseo de Gracia, 15, Barcelona;S9613722;07/01/2025;;3
